loss,learning_rate,n_estimators,time,accuracy,precision,recall
log_loss,0.5,500,1.4069545269012451,0.747239263803681,0.7468671679197995,0.739454094292804
log_loss,1.0,10,0.028998374938964844,0.7742331288343558,0.781491002570694,0.7543424317617866
log_loss,1.0,20,0.05499911308288574,0.7644171779141105,0.7670886075949367,0.7518610421836228
log_loss,1.0,30,0.08299899101257324,0.7533742331288343,0.7487684729064039,0.7543424317617866
log_loss,1.0,40,0.10999917984008789,0.750920245398773,0.75,0.7444168734491315
log_loss,1.0,50,0.13900279998779297,0.7521472392638037,0.749379652605459,0.749379652605459
log_loss,1.0,75,0.20999646186828613,0.7398773006134969,0.7334963325183375,0.7444168734491315
log_loss,1.0,100,0.2838740348815918,0.7325153374233129,0.7306733167082294,0.7270471464019851
log_loss,1.0,125,0.3537626266479492,0.7337423312883435,0.7313432835820896,0.7295285359801489
log_loss,1.0,150,0.413999080657959,0.7349693251533742,0.7308641975308642,0.7344913151364765
log_loss,1.0,200,0.5547635555267334,0.7398773006134969,0.7381546134663342,0.7344913151364765
log_loss,1.0,250,0.7142119407653809,0.7325153374233129,0.731829573934837,0.7245657568238213
log_loss,1.0,300,0.8627574443817139,0.7349693251533742,0.7331670822942643,0.7295285359801489
log_loss,1.0,350,1.0389857292175293,0.7276073619631902,0.7279596977329975,0.71712158808933
log_loss,1.0,400,1.3353080749511719,0.7288343558282209,0.7333333333333333,0.7096774193548387
log_loss,1.0,500,1.4700071811676025,0.7374233128834355,0.7404580152671756,0.7220843672456576
log_loss,3.0,10,0.030480384826660156,0.4699386503067485,0.4694736842105263,0.5533498759305211
log_loss,3.0,20,0.059003353118896484,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,30,0.08899831771850586,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,40,0.12199568748474121,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,50,0.15300726890563965,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,75,0.2240736484527588,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,100,0.29000091552734375,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,125,0.3625926971435547,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,150,0.43528270721435547,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,200,0.602473258972168,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,250,0.7350807189941406,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,300,0.8768298625946045,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,350,1.0819544792175293,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,400,1.2272889614105225,0.5521472392638037,0.6301369863013698,0.228287841191067
log_loss,3.0,500,1.513897180557251,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,0.1,10,0.02877974510192871,0.758282208588957,0.7845303867403315,0.7047146401985112
deviance,0.1,20,0.05600094795227051,0.7705521472392638,0.7783505154639175,0.749379652605459
deviance,0.1,30,0.08299946784973145,0.7815950920245399,0.783375314861461,0.771712158808933
