activation,solver,layers,iterations,time,accuracy,precision,recall
identity,sgd,4,250,0.29399895668029785,0.8343151693667158,0.8517964071856288,0.818705035971223
identity,sgd,4,300,0.18033933639526367,0.8431516936671576,0.8607784431137725,0.8273381294964028
identity,sgd,4,350,0.22867822647094727,0.8409425625920471,0.856929955290611,0.8273381294964028
identity,sgd,4,400,0.18288540840148926,0.8402061855670103,0.8588588588588588,0.823021582733813
identity,sgd,4,450,0.22607779502868652,0.841678939617084,0.8592814371257484,0.8258992805755395
identity,sgd,4,500,0.21100378036499023,0.8394698085419735,0.8565022421524664,0.8244604316546763
identity,sgd,4,550,0.2830066680908203,0.8446244477172312,0.8601190476190477,0.8316546762589928
identity,sgd,4,600,0.1989603042602539,0.8365243004418262,0.8577912254160364,0.8158273381294964
identity,sgd,4,650,0.21199727058410645,0.8394698085419735,0.8543833580980683,0.8273381294964028
identity,sgd,4,700,0.19338345527648926,0.8394698085419735,0.8619119878603946,0.8172661870503597
logistic,sgd,4,200,0.5748298168182373,0.8343151693667158,0.8528528528528528,0.8172661870503597
logistic,sgd,4,250,0.7132389545440674,0.8394698085419735,0.8543833580980683,0.8273381294964028
logistic,sgd,4,300,0.844552755355835,0.8424153166421208,0.85949177877429,0.8273381294964028
logistic,sgd,4,350,0.860870361328125,0.845360824742268,0.8603268945022289,0.8330935251798561
logistic,sgd,4,400,1.0293574333190918,0.8497790868924889,0.8615611192930781,0.841726618705036
logistic,sgd,4,450,1.0862228870391846,0.8409425625920471,0.8579970104633782,0.8258992805755395
logistic,sgd,4,500,0.935161828994751,0.8424153166421208,0.8605697151424287,0.8258992805755395
logistic,sgd,4,550,0.8785891532897949,0.845360824742268,0.8603268945022289,0.8330935251798561
logistic,sgd,4,600,1.0131218433380127,0.8438880706921944,0.8556701030927835,0.8359712230215828
logistic,sgd,4,650,0.9622867107391357,0.8409425625920471,0.8558692421991084,0.8287769784172662
logistic,sgd,4,700,0.9119610786437988,0.8424153166421208,0.85949177877429,0.8273381294964028
relu,sgd,4,200,0.5724248886108398,0.8497790868924889,0.8482269503546099,0.860431654676259
relu,sgd,4,250,0.7312221527099609,0.8490427098674521,0.8510028653295129,0.8546762589928057
relu,sgd,4,300,0.8550803661346436,0.8379970544918999,0.859304084720121,0.8172661870503597
relu,sgd,4,350,1.003044605255127,0.8497790868924889,0.8532374100719424,0.8532374100719424
relu,sgd,4,400,0.7625865936279297,0.845360824742268,0.8459343794579173,0.8532374100719424
relu,sgd,4,450,0.5402121543884277,0.845360824742268,0.8469241773962805,0.8517985611510791
relu,sgd,4,500,0.8023135662078857,0.8475699558173785,0.8526011560693642,0.8489208633093526
relu,sgd,4,550,0.5041141510009766,0.8402061855670103,0.8375706214689266,0.8532374100719424
relu,sgd,4,600,0.671541690826416,0.8402061855670103,0.8443804034582133,0.8431654676258993
relu,sgd,4,650,0.8050143718719482,0.8549337260677466,0.8536931818181818,0.8647482014388489
relu,sgd,4,700,0.6322333812713623,0.8460972017673049,0.8441926345609065,0.8575539568345324
identity,adam,4,200,0.1569535732269287,0.8424153166421208,0.85949177877429,0.8273381294964028
identity,adam,4,250,0.21908140182495117,0.8438880706921944,0.8620689655172413,0.8273381294964028
identity,adam,4,300,0.14600324630737305,0.8402061855670103,0.8588588588588588,0.823021582733813
identity,adam,4,350,0.19516754150390625,0.8424153166421208,0.8627450980392157,0.823021582733813
identity,adam,4,400,0.20772647857666016,0.8424153166421208,0.8616541353383459,0.8244604316546763
identity,adam,4,450,0.16480231285095215,0.8402061855670103,0.8577844311377245,0.8244604316546763
identity,adam,4,500,0.1750352382659912,0.8402061855670103,0.8577844311377245,0.8244604316546763
identity,adam,4,550,0.23600125312805176,0.8424153166421208,0.8573551263001485,0.8302158273381295
identity,adam,4,600,0.1856999397277832,0.8438880706921944,0.8609865470852018,0.8287769784172662
identity,adam,4,650,0.1889960765838623,0.8424153166421208,0.8616541353383459,0.8244604316546763
identity,adam,4,700,0.19697833061218262,0.8446244477172312,0.8622754491017964,0.8287769784172662
logistic,adam,4,200,0.6210792064666748,0.8505154639175257,0.8504273504273504,0.8589928057553957
logistic,adam,4,250,0.7978019714355469,0.8505154639175257,0.8544668587896254,0.8532374100719424
logistic,adam,4,300,0.8143806457519531,0.8549337260677466,0.8567335243553008,0.860431654676259
logistic,adam,4,350,0.8638017177581787,0.8564064801178203,0.8591954022988506,0.860431654676259
logistic,adam,4,400,1.0470068454742432,0.853460972017673,0.8553008595988538,0.8589928057553957
logistic,adam,4,450,1.083449363708496,0.8549337260677466,0.8557142857142858,0.8618705035971223
logistic,adam,4,500,0.6892938613891602,0.8549337260677466,0.8536931818181818,0.8647482014388489
logistic,adam,4,550,0.9095520973205566,0.8505154639175257,0.853448275862069,0.8546762589928057
logistic,adam,4,600,0.8058369159698486,0.8519882179675994,0.8528571428571429,0.8589928057553957
logistic,adam,4,650,1.0897867679595947,0.8600883652430045,0.8633093525179856,0.8633093525179856
logistic,adam,4,700,0.9981751441955566,0.8564064801178203,0.8541076487252125,0.8676258992805755
relu,adam,4,200,0.643479585647583,0.8497790868924889,0.844319775596073,0.8661870503597122
relu,adam,4,250,0.8112711906433105,0.8431516936671576,0.857566765578635,0.8316546762589928
relu,adam,4,300,0.6109387874603271,0.8564064801178203,0.8571428571428571,0.8633093525179856
relu,adam,4,350,0.5924797058105469,0.8475699558173785,0.8505747126436781,0.8517985611510791
relu,adam,4,400,0.5770280361175537,0.8505154639175257,0.8504273504273504,0.8589928057553957
relu,adam,4,450,0.4850006103515625,0.8497790868924889,0.8452883263009845,0.8647482014388489
relu,adam,4,500,0.6519644260406494,0.8483063328424153,0.8477951635846372,0.8575539568345324
relu,adam,4,550,0.5560011863708496,0.8490427098674521,0.8470254957507082,0.860431654676259
relu,adam,4,600,0.7743110656738281,0.8586156111929307,0.8517482517482518,0.8762589928057554
relu,adam,4,650,0.5403273105621338,0.8490427098674521,0.8490028490028491,0.8575539568345324
relu,adam,4,700,0.6179442405700684,0.8460972017673049,0.8403361344537815,0.8633093525179856
identity,sgd,6,200,0.15999126434326172,0.8438880706921944,0.8620689655172413,0.8273381294964028
identity,sgd,6,250,0.19000935554504395,0.8409425625920471,0.8579970104633782,0.8258992805755395
identity,sgd,6,300,0.20800113677978516,0.8424153166421208,0.8627450980392157,0.823021582733813
identity,sgd,6,350,0.18300175666809082,0.8424153166421208,0.85949177877429,0.8273381294964028
identity,sgd,6,400,0.23700308799743652,0.8431516936671576,0.8597014925373134,0.8287769784172662
identity,sgd,6,450,0.21900224685668945,0.841678939617084,0.8603603603603603,0.8244604316546763
identity,sgd,6,500,0.20404553413391113,0.8402061855670103,0.8588588588588588,0.823021582733813
identity,sgd,6,550,0.22899627685546875,0.8387334315169367,0.8562874251497006,0.823021582733813
identity,sgd,6,600,0.18100881576538086,0.8424153166421208,0.8605697151424287,0.8258992805755395
identity,sgd,6,650,0.21096444129943848,0.8387334315169367,0.858433734939759,0.8201438848920863
identity,sgd,6,700,0.21400952339172363,0.8387334315169367,0.858433734939759,0.8201438848920863
logistic,sgd,6,200,0.5901007652282715,0.8321060382916053,0.8521870286576169,0.8129496402877698
logistic,sgd,6,250,0.7878553867340088,0.8357879234167894,0.8554216867469879,0.8172661870503597
logistic,sgd,6,300,0.9348723888397217,0.8438880706921944,0.8567208271787297,0.8345323741007195
logistic,sgd,6,350,1.008056402206421,0.845360824742268,0.8603268945022289,0.8330935251798561
logistic,sgd,6,400,0.9390969276428223,0.8424153166421208,0.8584202682563339,0.8287769784172662
logistic,sgd,6,450,1.0741260051727295,0.841678939617084,0.8592814371257484,0.8258992805755395
logistic,sgd,6,500,0.9355361461639404,0.8446244477172312,0.8622754491017964,0.8287769784172662
logistic,sgd,6,550,0.8851439952850342,0.841678939617084,0.8592814371257484,0.8258992805755395
logistic,sgd,6,600,1.010758399963379,0.8424153166421208,0.8584202682563339,0.8287769784172662
logistic,sgd,6,650,0.8899712562561035,0.8409425625920471,0.8590704647676162,0.8244604316546763
logistic,sgd,6,700,1.0236799716949463,0.8431516936671576,0.8586309523809523,0.8302158273381295
relu,sgd,6,200,0.6073260307312012,0.8497790868924889,0.8532374100719424,0.8532374100719424
relu,sgd,6,250,0.6277525424957275,0.841678939617084,0.8448275862068966,0.8460431654676259
relu,sgd,6,300,0.7623708248138428,0.8483063328424153,0.8468085106382979,0.8589928057553957
relu,sgd,6,350,0.628812313079834,0.8468335787923417,0.8444130127298444,0.8589928057553957
relu,sgd,6,400,0.7856559753417969,0.845360824742268,0.8550512445095169,0.8402877697841726
relu,sgd,6,450,0.7442247867584229,0.8505154639175257,0.8524355300859598,0.8561151079136691
relu,sgd,6,500,0.6442453861236572,0.8527245949926362,0.8550932568149211,0.8575539568345324
relu,sgd,6,550,0.6287071704864502,0.8431516936671576,0.8492753623188406,0.8431654676258993
relu,sgd,6,600,0.5475349426269531,0.8497790868924889,0.8522238163558106,0.8546762589928057
relu,sgd,6,650,0.6714358329772949,0.8505154639175257,0.8544668587896254,0.8532374100719424
relu,sgd,6,700,0.9145877361297607,0.8505154639175257,0.8565217391304348,0.8503597122302158
