,activation,solver,layers,iterations,time,accuracy,precision,recall
20,identity,sgd,2,200,0.7415323257446289,0.8824644549763033,0.4131147540983607,0.3949843260188088
21,identity,sgd,2,250,0.4406721591949463,0.8824644549763033,0.4131147540983607,0.3949843260188088
22,identity,sgd,2,300,0.636420488357544,0.8824644549763033,0.4131147540983607,0.3949843260188088
23,identity,sgd,2,350,0.7021510601043701,0.8824644549763033,0.4131147540983607,0.3949843260188088
24,identity,sgd,2,400,0.6005897521972656,0.8824644549763033,0.4131147540983607,0.3949843260188088
25,logistic,sgd,2,200,1.961395025253296,0.8824644549763033,0.4131147540983607,0.3949843260188088
26,logistic,sgd,2,250,2.116633653640747,0.8824644549763033,0.4131147540983607,0.3949843260188088
27,logistic,sgd,2,300,1.9986534118652344,0.8824644549763033,0.4131147540983607,0.3949843260188088
28,logistic,sgd,2,350,2.6444592475891113,0.8824644549763033,0.4131147540983607,0.3949843260188088
29,logistic,sgd,2,400,2.155280590057373,0.8824644549763033,0.4131147540983607,0.3949843260188088
30,tanh,sgd,2,200,1.457279920578003,0.8824644549763033,0.4131147540983607,0.3949843260188088
31,tanh,sgd,2,250,1.464327335357666,0.8824644549763033,0.4131147540983607,0.3949843260188088
32,tanh,sgd,2,300,1.147547960281372,0.8824644549763033,0.4131147540983607,0.3949843260188088
33,tanh,sgd,2,350,0.9359278678894043,0.8824644549763033,0.4131147540983607,0.3949843260188088
34,tanh,sgd,2,400,1.392760992050171,0.8824644549763033,0.4131147540983607,0.3949843260188088
35,relu,sgd,2,200,1.0975511074066162,0.8824644549763033,0.4131147540983607,0.3949843260188088
36,relu,sgd,2,250,1.3333988189697266,0.8824644549763033,0.4131147540983607,0.3949843260188088
37,relu,sgd,2,300,1.3582825660705566,0.8824644549763033,0.4131147540983607,0.3949843260188088
38,relu,sgd,2,350,1.370473861694336,0.8824644549763033,0.4131147540983607,0.3949843260188088
39,relu,sgd,2,400,1.5788350105285645,0.8824644549763033,0.4131147540983607,0.3949843260188088
40,identity,adam,2,200,0.3617537021636963,0.8824644549763033,0.4131147540983607,0.3949843260188088
41,identity,adam,2,250,0.4218261241912842,0.8824644549763033,0.4131147540983607,0.3949843260188088
42,identity,adam,2,300,0.35149502754211426,0.8824644549763033,0.4131147540983607,0.3949843260188088
43,identity,adam,2,350,0.5555686950683594,0.8824644549763033,0.4131147540983607,0.3949843260188088
44,identity,adam,2,400,0.5205581188201904,0.8824644549763033,0.4131147540983607,0.3949843260188088
45,logistic,adam,2,200,1.3573014736175537,0.8824644549763033,0.4131147540983607,0.3949843260188088
46,logistic,adam,2,250,1.1216421127319336,0.8824644549763033,0.4131147540983607,0.3949843260188088
47,logistic,adam,2,300,1.3623921871185303,0.8824644549763033,0.4131147540983607,0.3949843260188088
48,logistic,adam,2,350,1.2114386558532715,0.8824644549763033,0.4131147540983607,0.3949843260188088
49,logistic,adam,2,400,1.0771641731262207,0.8824644549763033,0.4131147540983607,0.3949843260188088
50,tanh,adam,2,200,0.9247653484344482,0.8824644549763033,0.4131147540983607,0.3949843260188088
51,tanh,adam,2,250,1.146836280822754,0.8824644549763033,0.4131147540983607,0.3949843260188088
52,tanh,adam,2,300,1.060298204421997,0.8824644549763033,0.4131147540983607,0.3949843260188088
53,tanh,adam,2,350,1.0719473361968994,0.8824644549763033,0.4131147540983607,0.3949843260188088
54,tanh,adam,2,400,1.1784718036651611,0.8824644549763033,0.4131147540983607,0.3949843260188088
55,relu,adam,2,200,1.2293453216552734,0.8824644549763033,0.4131147540983607,0.3949843260188088
56,relu,adam,2,250,0.6243669986724854,0.8824644549763033,0.4131147540983607,0.3949843260188088
57,relu,adam,2,300,0.9321515560150146,0.8824644549763033,0.4131147540983607,0.3949843260188088
58,relu,adam,2,350,1.230532169342041,0.8824644549763033,0.4131147540983607,0.3949843260188088
59,relu,adam,2,400,1.7071905136108398,0.8824644549763033,0.4131147540983607,0.3949843260188088
60,identity,lbfgs,4,200,0.06224370002746582,0.8824644549763033,0.4131147540983607,0.3949843260188088
61,identity,lbfgs,4,250,0.05457186698913574,0.8824644549763033,0.4131147540983607,0.3949843260188088
62,identity,lbfgs,4,300,0.07263064384460449,0.8824644549763033,0.4131147540983607,0.3949843260188088
63,identity,lbfgs,4,350,0.07478213310241699,0.8824644549763033,0.4131147540983607,0.3949843260188088
64,identity,lbfgs,4,400,0.06272077560424805,0.8824644549763033,0.4131147540983607,0.3949843260188088
65,logistic,lbfgs,4,200,0.490980863571167,0.8824644549763033,0.4131147540983607,0.3949843260188088
66,logistic,lbfgs,4,250,0.24771881103515625,0.8824644549763033,0.4131147540983607,0.3949843260188088
67,logistic,lbfgs,4,300,0.36970996856689453,0.8824644549763033,0.4131147540983607,0.3949843260188088
