,activation,solver,layers,iterations,time,accuracy,precision,recall
24,relu,sgd,2,300,0.665250301361084,0.848,0.7327586206896551,0.41262135922330095
25,relu,sgd,2,350,0.7936537265777588,0.837,0.6462585034013606,0.46116504854368934
26,relu,sgd,2,400,0.509178876876831,0.815,0.8088235294117647,0.13349514563106796
27,relu,sgd,2,450,0.522010326385498,0.8425,0.7174887892376681,0.3883495145631068
28,relu,sgd,2,500,0.30055713653564453,0.84,0.6869918699186992,0.41019417475728154
29,relu,sgd,2,550,0.6323468685150146,0.8485,0.7582938388625592,0.3883495145631068
30,relu,sgd,2,600,0.4276406764984131,0.839,0.6717557251908397,0.42718446601941745
31,relu,sgd,2,650,1.0185225009918213,0.86,0.7773109243697479,0.44902912621359226
32,relu,sgd,2,700,0.6927409172058105,0.832,0.740506329113924,0.28398058252427183
33,identity,adam,2,200,0.24008870124816895,0.8375,0.695067264573991,0.3762135922330097
34,identity,adam,2,250,0.19636940956115723,0.838,0.7,0.3737864077669903
35,identity,adam,2,300,0.17396903038024902,0.8385,0.7013574660633484,0.3762135922330097
36,identity,adam,2,350,0.16381001472473145,0.839,0.7008928571428571,0.38106796116504854
37,identity,adam,2,400,0.18852019309997559,0.838,0.7,0.3737864077669903
38,identity,adam,2,450,0.2274627685546875,0.8385,0.7031963470319634,0.3737864077669903
39,identity,adam,2,500,0.22352242469787598,0.8385,0.7050691244239631,0.3713592233009709
40,identity,adam,2,550,0.19395089149475098,0.839,0.7045454545454546,0.3762135922330097
41,identity,adam,2,600,0.20177817344665527,0.839,0.7027027027027027,0.3786407766990291
42,identity,adam,2,650,0.19562387466430664,0.839,0.7045454545454546,0.3762135922330097
43,identity,adam,2,700,0.17491388320922852,0.84,0.7090909090909091,0.3786407766990291
44,logistic,adam,2,200,0.8343610763549805,0.853,0.7286821705426356,0.4563106796116505
45,logistic,adam,2,250,0.7070441246032715,0.853,0.7286821705426356,0.4563106796116505
46,logistic,adam,2,300,0.7885448932647705,0.8555,0.7469879518072289,0.45145631067961167
47,logistic,adam,2,350,0.8716151714324951,0.856,0.7403100775193798,0.46359223300970875
48,logistic,adam,2,400,1.0107090473175049,0.856,0.7384615384615385,0.46601941747572817
49,logistic,adam,2,450,0.6899416446685791,0.853,0.7286821705426356,0.4563106796116505
50,logistic,adam,2,500,0.7385802268981934,0.8565,0.7470355731225297,0.4587378640776699
51,logistic,adam,2,550,0.6723744869232178,0.856,0.746031746031746,0.4563106796116505
52,logistic,adam,2,600,0.6956725120544434,0.857,0.75,0.4587378640776699
53,logistic,adam,2,650,0.7964861392974854,0.8555,0.7374517374517374,0.46359223300970875
54,logistic,adam,2,700,0.8219795227050781,0.8535,0.7315175097276264,0.4563106796116505
55,relu,adam,2,200,0.8461687564849854,0.8435,0.72,0.3932038834951456
56,relu,adam,2,250,0.8001720905303955,0.855,0.7798165137614679,0.41262135922330095
57,relu,adam,2,300,0.5559806823730469,0.8605,0.7736625514403292,0.4563106796116505
58,relu,adam,2,350,0.5999898910522461,0.8565,0.7880184331797235,0.41504854368932037
59,relu,adam,2,400,0.48742222785949707,0.853,0.743801652892562,0.4368932038834951
60,relu,adam,2,450,0.6132946014404297,0.849,0.7254098360655737,0.42961165048543687
61,relu,adam,2,500,0.5688817501068115,0.861,0.7745901639344263,0.4587378640776699
