,iteration,score,size,algorithm
231,8109.0,11974.91665767056,15,Random Hill Climb
232,8110.0,11974.91665767056,15,Random Hill Climb
233,8111.0,11974.91665767056,15,Random Hill Climb
234,8112.0,11974.91665767056,15,Random Hill Climb
235,8113.0,11974.91665767056,15,Random Hill Climb
236,402.0,11369.385118280461,15,MIMIC
237,604.0,11631.57263390424,15,MIMIC
238,806.0,11632.424573781072,15,MIMIC
239,1007.0,11632.424573781072,15,MIMIC
240,1208.0,11632.424573781072,15,MIMIC
241,1409.0,11632.424573781072,15,MIMIC
242,1610.0,11632.424573781072,15,MIMIC
243,1811.0,11632.424573781072,15,MIMIC
244,2012.0,11632.424573781072,15,MIMIC
245,2213.0,11632.424573781072,15,MIMIC
246,2414.0,11632.424573781072,15,MIMIC
247,2615.0,11632.424573781072,15,MIMIC
248,2816.0,11632.424573781072,15,MIMIC
249,2.0,9526.532305597724,15,Simulated Annealing
250,3.0,9526.532305597724,15,Simulated Annealing
251,4.0,9526.532305597724,15,Simulated Annealing
252,5.0,9526.532305597724,15,Simulated Annealing
253,6.0,9526.532305597724,15,Simulated Annealing
254,7.0,9526.532305597724,15,Simulated Annealing
255,9.0,9690.544646474242,15,Simulated Annealing
256,10.0,9690.544646474242,15,Simulated Annealing
257,11.0,9690.544646474242,15,Simulated Annealing
258,13.0,10167.565982256718,15,Simulated Annealing
259,14.0,10167.565982256718,15,Simulated Annealing
260,15.0,10167.565982256718,15,Simulated Annealing
261,16.0,10167.565982256718,15,Simulated Annealing
262,17.0,10167.565982256718,15,Simulated Annealing
263,19.0,10388.34459569159,15,Simulated Annealing
264,20.0,10388.34459569159,15,Simulated Annealing
265,21.0,10388.34459569159,15,Simulated Annealing
266,22.0,10388.34459569159,15,Simulated Annealing
267,23.0,10388.34459569159,15,Simulated Annealing
268,24.0,10388.34459569159,15,Simulated Annealing
269,25.0,10388.34459569159,15,Simulated Annealing
270,26.0,10388.34459569159,15,Simulated Annealing
271,27.0,10388.34459569159,15,Simulated Annealing
272,28.0,10388.34459569159,15,Simulated Annealing
273,29.0,10388.34459569159,15,Simulated Annealing
274,402.0,12927.30925268346,20,Genetic
275,603.0,12927.30925268346,20,Genetic
276,805.0,13146.043784816173,20,Genetic
277,1006.0,13146.043784816173,20,Genetic
278,1207.0,13146.043784816173,20,Genetic
279,1409.0,13378.550355082996,20,Genetic
280,1610.0,13378.550355082996,20,Genetic
281,1811.0,13378.550355082996,20,Genetic
282,2013.0,13449.815405527734,20,Genetic
283,2214.0,13449.815405527734,20,Genetic
284,2415.0,13449.815405527734,20,Genetic
285,2617.0,13492.06192061435,20,Genetic
286,2819.0,13567.862827089624,20,Genetic
287,3020.0,13567.862827089624,20,Genetic
288,3221.0,13567.862827089624,20,Genetic
289,3423.0,13785.930149406082,20,Genetic
290,3624.0,13785.930149406082,20,Genetic
291,3825.0,13785.930149406082,20,Genetic
292,4026.0,13785.930149406082,20,Genetic
293,4227.0,13785.930149406082,20,Genetic
294,4429.0,13962.961278248538,20,Genetic
295,4630.0,13962.961278248538,20,Genetic
296,4832.0,14000.82882925506,20,Genetic
297,5033.0,14000.82882925506,20,Genetic
298,5234.0,14000.82882925506,20,Genetic
299,5435.0,14000.82882925506,20,Genetic
300,5637.0,14039.551146618394,20,Genetic
301,5838.0,14039.551146618394,20,Genetic
302,6039.0,14039.551146618394,20,Genetic
303,6240.0,14039.551146618394,20,Genetic
304,6441.0,14039.551146618394,20,Genetic
305,6642.0,14039.551146618394,20,Genetic
306,6844.0,14044.524212615544,20,Genetic
307,7045.0,14044.524212615544,20,Genetic
308,7246.0,14044.524212615544,20,Genetic
309,7447.0,14044.524212615544,20,Genetic
310,7648.0,14044.524212615544,20,Genetic
311,7849.0,14044.524212615544,20,Genetic
312,8051.0,14053.520000338605,20,Genetic
313,8252.0,14053.520000338605,20,Genetic
314,8454.0,14172.8169538784,20,Genetic
315,8655.0,14172.8169538784,20,Genetic
316,8856.0,14172.8169538784,20,Genetic
317,9057.0,14172.8169538784,20,Genetic
318,9259.0,14177.79001987555,20,Genetic
319,9460.0,14177.79001987555,20,Genetic
320,9661.0,14177.79001987555,20,Genetic
321,9862.0,14177.79001987555,20,Genetic
322,10063.0,14177.79001987555,20,Genetic
323,10264.0,14177.79001987555,20,Genetic
324,10466.0,14183.022714219753,20,Genetic
325,10667.0,14183.022714219753,20,Genetic
326,10868.0,14183.022714219753,20,Genetic
327,11069.0,14183.022714219753,20,Genetic
328,11270.0,14183.022714219753,20,Genetic
329,11471.0,14183.022714219753,20,Genetic
330,11672.0,14183.022714219753,20,Genetic
331,11873.0,14183.022714219753,20,Genetic
332,12075.0,14221.063203364714,20,Genetic
333,12277.0,14251.56233926251,20,Genetic
334,12478.0,14251.56233926251,20,Genetic
335,12679.0,14251.56233926251,20,Genetic
336,12880.0,14251.56233926251,20,Genetic
337,13081.0,14251.56233926251,20,Genetic
338,13283.0,14269.98718754373,20,Genetic
339,13484.0,14269.98718754373,20,Genetic
340,13685.0,14269.98718754373,20,Genetic
341,13886.0,14269.98718754373,20,Genetic
342,14087.0,14269.98718754373,20,Genetic
343,14288.0,14269.98718754373,20,Genetic
344,14489.0,14269.98718754373,20,Genetic
345,14690.0,14269.98718754373,20,Genetic
346,14891.0,14269.98718754373,20,Genetic
347,15093.0,14318.686068296949,20,Genetic
348,15294.0,14318.686068296949,20,Genetic
349,15495.0,14318.686068296949,20,Genetic
350,15696.0,14318.686068296949,20,Genetic
351,15897.0,14318.686068296949,20,Genetic
352,16098.0,14318.686068296949,20,Genetic
353,16299.0,14318.686068296949,20,Genetic
354,16500.0,14318.686068296949,20,Genetic
355,16701.0,14318.686068296949,20,Genetic
356,16902.0,14318.686068296949,20,Genetic
357,17103.0,14318.686068296949,20,Genetic
358,17105.0,10845.246298892172,20,Random Hill Climb
359,17107.0,10859.03266014069,20,Random Hill Climb
360,17109.0,11009.237077302776,20,Random Hill Climb
361,17110.0,11009.237077302776,20,Random Hill Climb
362,17111.0,11009.237077302776,20,Random Hill Climb
363,17112.0,11009.237077302776,20,Random Hill Climb
364,17114.0,11658.249223168992,20,Random Hill Climb
365,17115.0,11658.249223168992,20,Random Hill Climb
366,17116.0,11658.249223168992,20,Random Hill Climb
367,17117.0,11658.249223168992,20,Random Hill Climb
368,17118.0,11658.249223168992,20,Random Hill Climb
369,17120.0,11740.064119084962,20,Random Hill Climb
370,17121.0,11740.064119084962,20,Random Hill Climb
371,17123.0,11773.425883171596,20,Random Hill Climb
372,17124.0,11773.425883171596,20,Random Hill Climb
373,17126.0,12439.507732440376,20,Random Hill Climb
374,17127.0,12439.507732440376,20,Random Hill Climb
375,17128.0,12439.507732440376,20,Random Hill Climb
376,17129.0,12439.507732440376,20,Random Hill Climb
377,17130.0,12439.507732440376,20,Random Hill Climb
378,17131.0,12439.507732440376,20,Random Hill Climb
379,17132.0,12439.507732440376,20,Random Hill Climb
380,17133.0,12439.507732440376,20,Random Hill Climb
381,17134.0,12439.507732440376,20,Random Hill Climb
382,17135.0,12439.507732440376,20,Random Hill Climb
383,17136.0,12439.507732440376,20,Random Hill Climb
384,402.0,12843.49301860867,20,MIMIC
385,604.0,13075.179898112345,20,MIMIC
386,806.0,13351.871569149876,20,MIMIC
387,1007.0,13351.871569149876,20,MIMIC
388,1208.0,13351.871569149876,20,MIMIC
389,1409.0,13351.871569149876,20,MIMIC
390,1610.0,13351.871569149876,20,MIMIC
391,1811.0,13351.871569149876,20,MIMIC
392,2012.0,13351.871569149876,20,MIMIC
393,2213.0,13351.871569149876,20,MIMIC
394,2414.0,13351.871569149876,20,MIMIC
395,2615.0,13351.871569149876,20,MIMIC
396,2816.0,13351.871569149876,20,MIMIC
397,2.0,10845.246298892172,20,Simulated Annealing
398,4.0,10859.03266014069,20,Simulated Annealing
399,6.0,11009.237077302776,20,Simulated Annealing
400,7.0,11009.237077302776,20,Simulated Annealing
401,8.0,11009.237077302776,20,Simulated Annealing
402,9.0,11009.237077302776,20,Simulated Annealing
403,11.0,11526.850916330055,20,Simulated Annealing
404,13.0,11573.66685408744,20,Simulated Annealing
405,14.0,11573.66685408744,20,Simulated Annealing
406,16.0,11638.6557375079,20,Simulated Annealing
407,17.0,11638.6557375079,20,Simulated Annealing
408,18.0,11638.6557375079,20,Simulated Annealing
409,19.0,11638.6557375079,20,Simulated Annealing
410,21.0,11729.20984076012,20,Simulated Annealing
411,22.0,11729.20984076012,20,Simulated Annealing
412,23.0,11729.20984076012,20,Simulated Annealing
413,25.0,11887.940339314762,20,Simulated Annealing
414,26.0,11887.940339314762,20,Simulated Annealing
415,27.0,11887.940339314762,20,Simulated Annealing
416,29.0,12131.61531139351,20,Simulated Annealing
417,31.0,12145.336042701882,20,Simulated Annealing
418,32.0,12145.336042701882,20,Simulated Annealing
419,33.0,12145.336042701882,20,Simulated Annealing
420,34.0,12145.336042701882,20,Simulated Annealing
421,35.0,12145.336042701882,20,Simulated Annealing
422,37.0,12171.291193285435,20,Simulated Annealing
423,38.0,12171.291193285435,20,Simulated Annealing
424,39.0,12171.291193285435,20,Simulated Annealing
425,40.0,12171.291193285435,20,Simulated Annealing
426,41.0,12171.291193285435,20,Simulated Annealing
427,42.0,12171.291193285435,20,Simulated Annealing
428,43.0,12171.291193285435,20,Simulated Annealing
429,44.0,12171.291193285435,20,Simulated Annealing
430,45.0,12171.291193285435,20,Simulated Annealing
431,46.0,12171.291193285435,20,Simulated Annealing
432,48.0,12210.37918194625,20,Simulated Annealing
433,49.0,12210.37918194625,20,Simulated Annealing
434,50.0,12210.37918194625,20,Simulated Annealing
435,51.0,12210.37918194625,20,Simulated Annealing
436,52.0,12210.37918194625,20,Simulated Annealing
